Application,Timestamp,Description,Dimensions,Reference Frame,Proximity,Target Type,Interactor,Indication,Confirmation,Outcome
Green Hell VR,https://youtu.be/iAZi2kNJ-LY?si=nf1WdVWJlUZ-HFNR&t=476,4. Insert 3d objects into slots in environment,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Green Hell VR,https://youtu.be/goLyiVenra8?si=xsf4VgCA0T0xaAMd&t=905,6. Select pages in handheld inventory through touch and click,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Green Hell VR,https://youtu.be/SSQ9hmvkbOA?si=5X3YiycrITyXbxF3&t=994,7. Grab items from on-hand inventory,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Green Hell VR,https://youtu.be/SSQ9hmvkbOA?si=mVLVfmOGFxHghDFQ&t=1002,9. Insert item into hand-held inventory,3D,Hand,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Green Hell VR,https://youtu.be/goLyiVenra8?si=ALdBTTEEVudVH1cJ&t=1361,10. Hit animals with a weapon,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Green Hell VR,https://youtu.be/qn9oqBDZCqw?si=Mg5MrG9t4qjrzMe9&t=590,12. Aim and shoot with a bow,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Release,System control
Green Hell VR,https://youtu.be/KlqmrRJbHbI?si=7EjdDfvudhKlqXJx&t=112,13. Select 2D UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Green Hell VR,https://youtu.be/KlqmrRJbHbI?si=fYI5x3rdHLMt3sMZ&t=911,14. Touch on wrist watch,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
Green Hell VR,https://youtu.be/KlqmrRJbHbI?si=vOFfVPVvzlkV2jD9&t=1154,15. Press 3D buttons,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Green Hell VR,https://youtu.be/SSQ9hmvkbOA?si=9jQp_4aCsjr-ZlOK&t=1126,16. Shoot enemies with spear,3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Analog - Release,System control
Green Hell VR,https://youtu.be/SSQ9hmvkbOA?si=6I9dkuYYb0fSmb9o&t=1039,17. Insert into environment inventory,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Green Hell VR,https://youtu.be/SSQ9hmvkbOA?si=X3Xn2itGiAdCPoK7&t=1042,18. Grab from environment inventory,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Into the Radius,https://youtu.be/_8uE8kPTTuc?si=rNNbHsUO3z9cSpDt&t=16,2. Direct grab from handheld backpack,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Into the Radius,https://youtu.be/Ea8MLhFnDWw?si=zYaJmpJbelzDl0w6&t=487,3. Direct grab from on-torso inventory,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Into the Radius,https://youtu.be/Ea8MLhFnDWw?si=Ncsx1nbaBb6ge-pE&t=1149,4. Insert into hand-held backpack,2D,Hand,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Into the Radius,https://youtu.be/Ea8MLhFnDWw?si=H_uAWac4017cfRDA&t=112,5. Insert items into on-torso inventory,3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Into the Radius,https://youtu.be/l1BoJyv9vvA?t=144,6. Point to world-based flat UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Into the Radius,https://youtu.be/l1BoJyv9vvA?t=1040,7. Shooting weapons,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Into the Radius,https://youtu.be/ApiLcneq6ks?si=qRS7l1Iby6tKJKUe&t=51,8. Throwing grenades,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Into the Radius,https://youtu.be/n9z5z4nfZkQ?si=tuGemmuIbVAr__z2&t=865,9. Selecting from on-torso UI,2D,Torso,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Into the Radius,https://youtu.be/n9z5z4nfZkQ?si=eUI39yt83nnKqNbS&t=1167,10. Hit enemies with handheld,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Moss,https://youtu.be/GKA2YWnL1VM?t=734,1. Direct grab of objects in environment,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Richie's Plank Experience,https://youtu.be/kGSMypiRsd8?t=64,1. Seleting items on a menu,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Richie's Plank Experience,https://youtu.be/J6hQc0dEx5U?si=fJ0rt8iHT6--dMIF&t=15,2. Press a 3D button (elevator button),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Richie's Plank Experience,https://youtu.be/J6hQc0dEx5U?si=AdloYTOh3FS00EF3&t=60,3. Grabbing closeby objects (cakes),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Richie's Plank Experience,https://youtu.be/ZiZnABZYjHc?si=EnJ0mL2TTfJwpG3j&t=146,4. Grabbing objects (hand tracking),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Hold gesture,Acquisition
Richie's Plank Experience,https://youtu.be/R_yWj80fJk0?si=0WKFBDJYGHOIQT1M&t=23,5. Selecting items on 2D UI (hand tracking),2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Hand Tracking - Click gesture,System control
Medal of Honor: Above and Beyond,https://youtu.be/DCGd4rbkB6M?t=180,2. Grabbing weapons from the body,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Medal of Honor: Above and Beyond,https://youtu.be/DCGd4rbkB6M?si=YnUX3mB2gmGSU7BJ&t=182,3. Insert weapon into on-torso inventory,3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Medal of Honor: Above and Beyond,https://youtu.be/B-PIWSg_5cY?si=SlsegwHiWz83AKEp&t=43,4. Point and click on UI menu,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Medal of Honor: Above and Beyond,https://youtu.be/DCGd4rbkB6M?t=202,5. Shooting enemy avatars,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Medal of Honor: Above and Beyond,https://youtu.be/DCGd4rbkB6M?t=524,6. Attacking enemies with melee weapons,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Medal of Honor: Above and Beyond,https://youtu.be/DCGd4rbkB6M?t=597,7. Selecting a medication injection from wrist area,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Medal of Honor: Above and Beyond,https://youtu.be/DCGd4rbkB6M?t=800,9. Throw an explosive at enemies,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Medal of Honor: Above and Beyond,https://youtu.be/uLwvK3Gh9fk?si=ZsiMAUAqOA-6YLQV&t=1018,10. Wearing hat,3D,Head,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,https://youtu.be/vsEw_i9_KLI?t=2241,"2. Selecting items from backpack inventory (left hand holds, right hand selects)",3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,https://youtu.be/vsEw_i9_KLI?si=8mF-opX0r00aGKyP&t=11276,3. Selecting object attached to the body,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,https://youtu.be/vsEw_i9_KLI?t=3513,4. Shooting enemies with a gun,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,https://youtu.be/vsEw_i9_KLI?si=dOJ671b8vNOA94Nt&t=20132,7. Inserting into backpack inventory,2D,Hand,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,https://youtu.be/vsEw_i9_KLI?si=p4wgbBhmCtqhoHVn&t=19955,8. Point a laser and shoot enemies,3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,https://youtu.be/vsEw_i9_KLI?si=-RwGRbNfcN1yBw03&t=5985,10. Hit enemy with a handheld,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,https://youtu.be/iKW7OIRz9_U?si=VXRmy29I4Cd5wrFo&t=66,12. Selecting from UI with pointing,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,https://youtu.be/vsEw_i9_KLI?si=GetQxK1ckT9cVBAn&t=3521,13. Insert into on-torso inventory,2D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,https://youtu.be/Bqfuk6kjxUc?si=CSyPoYUNUGxX1MML&t=2429,14. Insert into environment inventory,2D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,https://youtu.be/ryINopKuv0Q?si=CUYJ9D9Qmt6phGIN&t=1636,15. Grab from environment inventory,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=111 ,2. Selecting items from a backpack inventory ,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?si=jFD6ZIcUHyVeMjx7&t=65,3. Grab an item from on-torso inventory slot,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?si=gllwr4BoUTjfRwiW&t=18555,4. Aim at a target and shoot,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=4719 ,6. Touch and click button on keypad,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Click,System control
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=4141 ,7. Insert item into backpack inventory,2D,Hand,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=2543 ,10. Hitting enemies with handheld,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?t=4 ,12. Selecting from a  UI at a distance ,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
The Walking Dead: Saints & Sinners,https://youtu.be/r8hbTzWcE_w?si=CI9c2b0MOuVm4I09&t=71,13. Store item in on-body UI inventory,2D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
The Walking Dead: Saints & Sinners,https://youtu.be/vc6ZA6eWAu4?si=hdoPLeBi6I4xXPH5&t=1058,14. Insert item into environment inventory,2D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
The Walking Dead: Saints & Sinners,https://youtu.be/vc6ZA6eWAu4?si=iQ55Hw7-vaKYsX4a&t=1167,15. Grab item from environment inventory,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
NFL PRO ERA,https://youtu.be/Zg8Uxq3n5NI?si=xd79NhBf3EVLcmm-&t=28,2. Point to a UI menu in env,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
NFL PRO ERA,https://youtu.be/Zg8Uxq3n5NI?si=jwGpt1JrtW8kt-_I&t=2001,3. Throwing the ball,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
NFL PRO ERA,https://youtu.be/Ng1zkUIgM3I?si=0XufJoXtYZKgMroO&t=64,4. Selection from coach tablet/quarterback watch on the hand,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
NFL PRO ERA,https://youtu.be/Zg8Uxq3n5NI?si=kv_rgIiypa7zB-Xt&t=143,5. Discrete manipulation of a UI through touch,2D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Premium Bowling,https://youtu.be/_PUP2ZLm3Qw?t=5,1. Selection of items on a menu (can be far away) by poinitng,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Premium Bowling,https://youtu.be/_PUP2ZLm3Qw?si=A8T8S-j8Z-Gqa6gi&t=169,3. Throw bowling ball,3D,Environment,Extrapersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Fruit Ninja VR,https://youtu.be/DBccAP9Dvt0?t=25,1. Slice in game fruits ,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
Fruit Ninja VR,https://youtu.be/DBccAP9Dvt0?t=29,2. Intersect with a new sword and click,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Analog - Click,Acquisition
I Expect You To Die,https://youtu.be/KA3J3N9eOlA?t=226,1. Pressing 3D buttons in environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
I Expect You To Die,https://youtu.be/KA3J3N9eOlA?t=277,2. Picking up distance objects by pointing,3D,Environment,Extrapersonal,3D Object,Ray - 2D Cursor,Pointing - Hand ray,Analog - Continued Press,Acquisition
I Expect You To Die,https://youtu.be/KA3J3N9eOlA?t=239,3. Direct grab of within-reach objects,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
I Expect You To Die,https://youtu.be/KA3J3N9eOlA?t=3241,4. Touch a button to progress the level,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
I Expect You To Die,https://youtu.be/qZzFGl6RnDM?si=Wvh-RH0inkwj-bXE&t=1207,5. Shooting at targets and enemies,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
I Expect You To Die,https://youtu.be/KA3J3N9eOlA?si=Ol0ep_kzHFAHSWJ-&t=446,6. Insert an item into an slot,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
I Expect You To Die,https://youtu.be/qZzFGl6RnDM?si=mnDPCl8hm76a8W1d&t=2238,7. Using a gear to select numerical values,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
I Expect You to Die 2: The Spy and the Liar,https://youtu.be/b4Z-5Gka0Qw?t=173,1. Picking up objects in the distance by pointing,3D,Environment,Extrapersonal,3D Object,Ray - 2D Cursor,Pointing - Hand ray,Analog - Continued Press,Acquisition
I Expect You to Die 2: The Spy and the Liar,https://youtu.be/b4Z-5Gka0Qw?t=181,2. Directly grabbing objects nearby,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
I Expect You to Die 2: The Spy and the Liar,https://youtu.be/b4Z-5Gka0Qw?t=950,3. Press a virtual 3D button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
I Expect You to Die 2: The Spy and the Liar,https://youtu.be/b4Z-5Gka0Qw?si=CttdfwNKOaHLbWXv&t=964,4. Manipulate grasped lever,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
I Expect You to Die 2: The Spy and the Liar,https://youtu.be/b4Z-5Gka0Qw?t=1249,5. Shooting a crossbow,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
I Expect You to Die 2: The Spy and the Liar,https://youtu.be/b4Z-5Gka0Qw?si=3Oyl8vxpPBObykAL&t=1271,6. Insert item into environment slot,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
I Expect You to Die 2: The Spy and the Liar,https://youtu.be/AnivP5MGqWA?si=lz_ZpLnTbB_jYpSb&t=170,7. Selecting from 2D UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
I Expect You to Die 2: The Spy and the Liar,https://youtu.be/AnivP5MGqWA?si=yIhfwDDE09sexASF&t=1272,8. Throw bombs at enemies,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Another Fisherman's Tale,https://youtu.be/aHyT2YIv8yo?t=235,1. Point hand (invisible ray) at object at distance,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Another Fisherman's Tale,https://youtu.be/aHyT2YIv8yo?si=vymJzFZLQ9o9VmNE&t=537,2. Directly grab nearby objects,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Another Fisherman's Tale,https://youtu.be/aHyT2YIv8yo?si=Gp4eRF4xbWkEEyLJ&t=538,3. Attach an item to hand,3D,Hand,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Another Fisherman's Tale,https://youtu.be/aHyT2YIv8yo?si=-Bwy9ATLjzBmJzRv&t=1,4. Select from 2D UI in main menu,2D,Environment,Extrapersonal,UI Element,Ray - 2D Cursor,Pointing - Hand ray,Analog - Click,System control
Another Fisherman's Tale,https://youtu.be/ZhMUz5np560?si=6vIbMj-biepiqJYR&t=2191,5. Rotating a wheel on a radio,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Another Fisherman's Tale,https://youtu.be/_c7ojs-IgR4?si=B3l2Q8AjM1qeFJmY&t=1212,6. Insert items into environment slot,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Eleven Table Tennis,https://youtu.be/_oLdPQBvSGs?t=349,1. Selecting Items on a menu by pointing,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Eleven Table Tennis,https://youtu.be/dp5vIKwGv2Q?si=DeyCBPPmkvbTME7W&t=24,2. Hitting the tennis ball using a racket,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
The Room VR: A Dark Matter,https://www.youtube.com/watch?v=ZT7RBYPaHNc&t=87s,1. Selection from main menu using pointing,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
